ticker,name,sector,industry,returns_mean,returns_std,beta,alpha,sharpe_ratio,max_drawdown,market_cap_log,volume_mean,volatility
ABT,Abbott Laboratories,Healthcare,Medical Devices,0.1545714602563329,0.2044792142009574,0.20720868469152,0.12550758494780334,-2464.2340996574876,-0.11253743147854856,26.097704914125515,5906273.306772908,0.2044792142009574
TMO,Thermo Fisher Scientific Inc,Healthcare,Diagnostics & Research,-0.2534017172929024,0.22774741438886725,0.5957948120790545,-0.26195667257806377,-2214.2627912414496,-0.29689555650874466,25.830461196475024,1643586.8525896415,0.22774741438886725
MRK,"Merck & Company, Inc.",Healthcare,Drug Manufacturers - General,-0.3952429543597565,0.2437618204070687,0.059709059712600356,-0.43209161095347226,-2069.374383065428,-0.37285062696519433,26.05015361095418,11206392.430278884,0.2437618204070687
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,0.05537668257728916,0.18917057459129866,-0.08431285915426819,0.010926792157984748,-2664.1767524981037,-0.1444626255767929,26.6348357085196,7796949.003984064,0.18917057459129866
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,0.20530577326843288,0.16089416008072674,0.0398302364366125,0.16740794592982505,-3131.4618115372373,-0.15502976741295138,26.43020549589045,15046551.394422311,0.16089416008072674
PEP,"Pepsico, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,-0.09388247388162889,0.1855781834339834,-0.018777330556300913,-0.13487350969966122,-2716.5537290575053,-0.2021577260382439,26.02680829243563,5943578.087649402,0.1855781834339834
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,0.16272888769752805,0.1974422994902504,0.3003869337039562,0.13858280312373497,-2552.018975562057,-0.11099706091239792,26.091188011703924,3540609.1633466138,0.1974422994902504
NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,-0.3523093897884404,0.3681456674098698,0.6119379388899573,-0.36001233808375444,-1370.0868373758547,-0.419665909960127,25.160022470101275,13447659.760956176,0.3681456674098698
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,0.05163372119870973,0.41356065881016846,0.9190199501612639,0.06013804322495663,-1218.6545777691197,-0.29108021582866517,25.258655517012826,11218852.19123506,0.41356065881016846
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,-0.5834805632460162,0.4614662350452788,1.8643470482523017,-0.5250834723218805,-1093.520318510749,-0.533811703596955,25.660098672246782,43184430.27888446,0.4614662350452788
